trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",35,0,-247.4841211606052,"{0: 21, 1: 3, 2: 4, 3: 3, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9990000000000001}",25,0,-77.04581836903762,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9985000000000002}",35,16,-74.17344977343339,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9980000000000002}",25,0,-189.0260949544172,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9975000000000003}",30,0,-210.36377161669594,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9970000000000003}",25,0,-160.02000984189954,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9965000000000004}",30,0,-179.13418788859525,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9960000000000004}",30,0,-92.6945849706776,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9955000000000005}",25,0,-139.27156011989666,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9950000000000006}",20,0,-111.26115222026651,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9945000000000006}",25,0,-75.16691011290787,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9940000000000007}",25,0,-90.18581116709065,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9935000000000007}",25,0,-149.56779313492981,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9930000000000008}",20,0,-82.0826898695629,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9925000000000008}",20,0,-51.72850252151036,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9920000000000009}",25,0,-146.3630038144304,"{0: 15, 1: 6, 2: 1, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9915000000000009}",25,0,-156.3583347472745,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.991000000000001}",20,1,-152.7742961925479,"{0: 9, 1: 1, 2: 4, 3: 4, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.990500000000001}",25,0,-88.0940880244875,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9900000000000011}",30,17,-90.5837667281244,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.9895000000000012}",30,2,-199.83661724299256,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 3}",1
22,False,"{'a': 0.5, 'e': 0.9890000000000012}",30,0,-260.2992005083044,"{0: 17, 1: 2, 2: 3, 3: 4, 4: 4}",0
23,False,"{'a': 0.5, 'e': 0.9885000000000013}",30,0,-248.30184468266964,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9880000000000013}",30,0,-133.5846652121405,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9875000000000014}",25,0,-100.19549532861492,"{0: 12, 1: 7, 2: 4, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9870000000000014}",35,4,-173.03865025064195,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.9865000000000015}",25,0,-63.63442132553171,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9860000000000015}",20,0,-42.597720040079246,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9855000000000016}",25,0,-48.49727101137298,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9850000000000017}",25,0,-72.74708580614606,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9845000000000017}",20,0,-89.87684945330673,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9840000000000018}",25,0,-75.84399638491635,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9835000000000018}",20,0,-53.944207979939975,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9830000000000019}",30,0,-94.06194356336051,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9825000000000019}",25,0,-74.83952966730922,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.982000000000002}",30,0,-256.87133325691065,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.981500000000002}",30,16,-18.216763984865622,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.9810000000000021}",25,0,-83.217959062681,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9805000000000021}",30,10,-102.992118249938,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",1
