trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.7271570591997,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.98907281887477,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.85637384588836,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.5127913647023,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.7833916800507,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.83541157751762,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,7,-70.68271726225855,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.40060053824863,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.77361814225942,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.23503064314565,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.20680478116205,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.74954202142506,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.66763438493322,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-71.43997675035577,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.21963867224218,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.29074018599351,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.71632435703004,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.6223016415795,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,6,-114.4891597590627,"{0: 6, 1: 5, 2: 6, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.35707393509827,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-155.66987844921397,"{0: 18, 1: 5, 2: 11, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.28865865177798,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,6,-36.37394048900866,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.13777529793172,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,1,-72.6161772652665,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.88141833813378,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.58656516481368,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-30.31630147448242,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,16,-89.33398266922626,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-292.28437000181873,"{0: 14, 1: 4, 2: 11, 3: 3, 4: 3}",0
